# Format:
# craft_tag|tag_description
enchant_body_lightning|Enchant Body Armour. Quality does not increase its Defences, grants 1% Lightning Resistance per 2% quality
enchant_body_strength|Enchant Body Armour. Quality does not increase its Defences, grants +1 Strength per 2% quality
enchant_weapon_range|Enchant a Melee Weapon. Quality does not increase its Physical Damage, has +1 Weapon Range per 10% Quality
exchange_alchemy_chisel|Exchange 10 Orbs of Alchemy for 20 Cartographer's Chisels
exchange_alteration_chaos|Exchange 10 Orbs of Alteration for 10 Chaos Orbs
exchange_bestiary|Change a Unique Bestiary item or item with an Aspect into Lures of the same beast family
exchange_blessed_alteration|Exchange 10 Blessed Orbs for 20 Orbs of Alteration
exchange_chaos_exalted|Exchange 10 Chaos Orbs for an Exalted Orb
exchange_gem|Change a Gem into another Gem, carrying over experience and quality if possible
exchange_jeweller_fusing|Exchange 10 Jeweller's Orbs for 20 Orbs of Fusing
exchange_pale|Change a Pale Court Key into another random Pale Court Key
exchange_resonator_fossil|Exchange a Resonator for a Fossil or vice versa. Rare outcomes are more likely with rare inputs
fracture_prefix|Fracture a random Prefix on an item with at least 3 Prefixes. This cant be used on Influenced, Synthesised, or Fractured items.
fracture_random|Fracture a random modifier on an item with at least 5 modifiers, locking it in place. This can't be used on Influenced, Synthesised, or Fractured items
fracture_suffix|Fracture a random Suffix on an item with least 3 Suffixes. This cant be used on Influenced, Synthesised, or Fractured items
gem_add_quality|Improves the Quality of a Gem by at least 10%. The maximum quality is 20%
gem_awaken|Attempt to Awaken a level 20 Support Gem that can be Awakened with a 5% chance. If it does not Awaken, it is destroyed.
randomise_attack|Randomise the numeric values of the random Attack modifiers on a Magic or Rare item
randomise_caster|Randomise the numeric values of the random Caster modifiers on a Magic or Rare item
randomise_chaos|Randomise the numeric values of the random Chaos modifiers on a Magic or Rare item
randomise_cold|Randomise the numeric values of the random Cold modifiers on a Magic or Rare item
randomise_critical|Randomise the numeric values of the random Critical modifiers on a Magic or Rare item
randomise_defence|Randomise the numeric values of the random Defence modifiers on a Magic or Rare item
randomise_fire|Randomise the numeric values of the random Fire modifiers on a Magic or Rare item
randomise_life|Randomise the numeric values of the random Life modifiers on a Magic or Rare item
randomise_lightning|Randomise the numeric values of the random Lightning modifiers on a Magic or Rare item
randomise_physical|Randomise the numeric values of the random Physical modifiers on a Magic or Rare item
randomise_speed|Randomise the numeric values of the random Speed modifiers on a Magic or Rare item
reforge_critical_common|Reforge a Rare item with new random modifiers, including a Critical modifier. Critical modifiers are more common
reforge_critical|Reforge a Rare item with new random modifiers, including a Critical modifier
reforge_same_modifiers|Reforge a Rare item, being much more likely to receive the same modifier types
reforge_suffixes|Reforge a Rare item, keeping all Suffixes
remove_add_attack|Remove a random Attack modifier from an item and add a new Attack modifier
remove_add_caster|Remove a random Caster modifier from an item and add a new Caster modifier
remove_add_chaos|Remove a random Chaos modifier from an item and add a new Chaos modifier
remove_add_cold|Remove a random Cold modifier from an item and add a new Cold modifier
remove_add_critical|Remove a random Critical modifier from an item and add a new Critical modifier
remove_add_defence|Remove a random Defence modifier from an item and add a new Defence modifier
remove_add_fire|Remove a random Fire modifier from an item and add a new Fire modifier
remove_add_life|Remove a random Life modifier from an item and add a new Life modifier
remove_add_lightning|Remove a random Lightning modifier from an item and add a new Lightning modifier
remove_add_non_attack|Remove a random non-Attack modifier from an item and add a new Attack modifier
remove_add_non_caster|Remove a random non-Caster modifier from an item and add a new Caster modifier
remove_add_non_chaos|Remove a random non-Chaos modifier from an item and add a new Chaos modifier
remove_add_non_cold|Remove a random non-Cold modifier from an item and add a new Cold modifier
remove_add_non_critical|Remove a random non-Critical modifier from an item and add a new Critical modifier
remove_add_non_defence|Remove a random non-Defence modifier from an item and add a new Defence modifier
remove_add_non_fire|Remove a random non-Fire modifier from an item and add a new Fire modifier
remove_add_non_life|Remove a random non-Life modifier from an item and add a new Life modifier
remove_add_non_lightning|Remove a random non-Lightning modifier from an item and add a new Lightning modifier
remove_add_non_physical|Remove a random non-Physical modifier from an item and add a new Physical modifier
remove_add_non_speed|Remove a random non-Speed modifier from an item and add a new Speed modifier
remove_add_physical|Remove a random Physical modifier from an item and add a new Physical modifier
remove_add_speed|Remove a random Speed modifier from an item and add a new Speed modifier
remove_attack|Remove a random Attack modifier from an item
remove_caster|Remove a random Caster modifier from an item
remove_chaos|Remove a random Chaos modifier from an item
remove_cold|Remove a random Cold modifier from an item
remove_critical|Remove a random Critical modifier from an item
remove_defence|Remove a random Defence modifier from an item
remove_fire|Remove a random Fire modifier from an item
remove_influence|Remove a random Influence modifier from an item
remove_life|Remove a random Life modifier from an item
remove_lightning|Remove a random Lightning modifier from an item
remove_physical|Remove a random Physical modifier from an item
remove_speed|Remove a random Speed modifier from an item
reroll_all_lucky|Reroll the values of Prefix, Suffix and Implicit modifiers on a Rare item, with Lucky modifier values
sacrifice_catalyst|Change a stack of Catalysts into a different type of Catalyst
sacrifice_delirium|Change a stack of Delirium Orbs into a different type of Delirium Orb
sacrifice_essence|Change a stack of Essences into a different type of the same tier
sacrifice_gem_facetors_20|Sacrifice a Corrupted Gem to gain 20% of the gem's total experience stored as a Facetor's Lens
sacrifice_gem_facetors_30|Sacrifice a Corrupted Gem to gain 30% of the gem's total experience stored as a Facetor's Lens
sacrifice_gem_facetors_40|Sacrifice a Corrupted Gem to gain 40% of the gem's total experience stored as a Facetor's Lens
sacrifice_gem_facetors_50|Sacrifice a Corrupted Gem to gain 50% of the gem's total experience stored as a Facetor's Lens
sacrifice_gem_prisms_20|Sacrifice a Corrupted Gem to gain 20% of the gem's quality as Gemcutter's Prisms
sacrifice_gem_prisms_30|Sacrifice a Corrupted Gem to gain 30% of the gem's quality as Gemcutter's Prisms
sacrifice_gem_prisms_40|Sacrifice a Corrupted Gem to gain 40% of the gem's quality as Gemcutter's Prisms
sacrifice_gem_prisms_50|Sacrifice a Corrupted Gem to gain 50% of the gem's quality as Gemcutter's Prisms
sacrifice_offering_dedication|Change an Offering to the Goddess into a Dedication to the Goddess
sacrifice_offering_tribute|Change an Offering to the Goddess into a Tribute to the Goddess
sacrifice_oil|Change a stack of Oils into a different colour of Oil
sacrifice_weaponarmor_amulet|Sacrifice a Weapon or Armour to create an Amulet with similar modifiers
set_implicit_abysstimeless|Set a new Implicit modifier on an Abyss Jewel or Timeless Jewel
set_implicit_cluster|Set a new Implicit modifier on a Cluster Jewel
set_implicit_normal|Set a new Implicit modifier on a Cobalt, Crimson, Viridian or Prismatic Jewel
socket_colour_blue|Reforge the colour of a non-Blue socket on an item, turning it Blue
socket_colour_green|Reforge the colour of a non-Green socket on an item, turning it Green
socket_colour_red|Reforge the colour of a non-Red socket on an item, turning it Red
socket_colour_white_random|Reforge the colour of a random socket on an item, turning it White
socket_colour_white|Reforge the colour of a non-white socket on an item, turning it White
socket_count_six|Set an item to six sockets
socket_link_five|Reforge the links between sockets on an item, linking five sockets
socket_link_six|Reforge the links between sockets on an item, linking six sockets
upgrade_essence|Upgrade the tier of an Essence
upgrade_magic_rare|Upgrade a Magic item to a Rare item, adding three random modifiers
upgrade_oil|Upgrade an Oil into an Oil one tier higher
